driverId,name,ssn,location,certified,wage-plan
10,Mary Peters,323-49-0785,"52438 Sparks Circles Apt. 603
Nicholeside, SC 76040",N,hours
11,Kimberly Dennis,693-87-2121,"737 Lisa Centers Suite 405
Rachelside, SC 32112",Y,hours
12,Victor Mcdaniel,129-34-1421,"49091 Boyd Lodge Suite 151
Robertsland, HI 26604",N,hours
13,Julie Nunez,273-61-9794,"5230 Mills Locks
Kennethshire, GU 95500",N,hours
14,Amanda Hampton,245-16-3570,"01508 Anna Crossing Suite 577
East Sergioland, NC 45927",N,miles
15,Justin Williams,335-87-3822,"6586 Jones Mission Suite 214
Pattersonchester, DE 32943",N,miles
16,Jessica James,117-85-3770,"323 Sanders Mews Suite 059
North Sandra, MH 17973",N,miles
17,Jordan Peck,466-13-7598,"84417 Douglas Centers
Mckeeshire, OK 84496",N,miles
18,Kelly Reynolds,183-06-2294,"1876 Evans Camp Suite 823
Rebeccaborough, UT 08173",Y,miles
19,Robin Lewis,803-95-9036,"08819 Thomas Mountains
Kathyport, DE 84684",Y,hours
20,Alexander Bryant,400-22-3096,"1385 Kurt Fork Suite 529
Paynemouth, MH 59243",N,hours
21,Jennifer Cross,668-86-4470,"930 Julia Mountains Apt. 053
Williamtown, AZ 63096",Y,miles
22,Patricia Walls,476-60-6897,"91102 Jeremy Pike Suite 822
North Eric, KY 33324",N,hours
23,Robert Barker,354-28-3979,"2257 Michael Spurs
Coreyburgh, IN 69229",N,hours
24,Joshua Lee,612-02-3365,"9163 Hodge Courts
Jacksonside, PR 48686",N,miles
25,Laura Bowman,116-61-2543,"04482 Blackwell Hills
West Richardtown, OR 19591",Y,hours
26,Kenneth Hernandez,768-30-0771,"3638 Tammy Glen
Port Dawntown, AS 71737",Y,miles
27,Jonathan Mcbride,566-87-1779,"173 Francis Place
North Amyshire, AL 61646",N,miles
28,Scott Lawrence,555-80-9221,"39476 David Creek
Port Angelaport, ND 97687",Y,hours
29,Brittany Wade,332-54-6025,"695 Munoz Station Suite 062
Johnsonport, MA 94393",N,miles
30,Joel Ortiz,496-95-5848,"62737 Tammy Fords Suite 355
New Sharon, PA 40453",Y,hours
31,Kathryn Bailey,439-60-0688,"59385 Todd Forks Suite 585
North Sarahburgh, ID 78006",Y,miles
32,Mr. Kyle Davies,678-02-1063,"260 Calvin Road Apt. 934
Bakershire, IA 76906",Y,miles
33,Michael Deleon,706-24-3092,"3867 William Park Apt. 017
Aliciaport, AS 86981",Y,miles
